2018-02-01 09:04:00 status unpacked chromium-codecs-ffmpeg-extra:amd64 64.0.3282.119-0ubuntu0.16.04.1
2018-02-01 09:04:00 status half-configured chromium-codecs-ffmpeg-extra:amd64 64.0.3282.119-0ubuntu0.16.04.1
2018-02-01 09:04:00 status installed chromium-codecs-ffmpeg-extra:amd64 64.0.3282.119-0ubuntu0.16.04.1
2018-02-01 09:04:00 configure curl:amd64 7.47.0-1ubuntu2.6 <none>
2018-02-01 09:04:00 status unpacked curl:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:04:00 status half-configured curl:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:04:00 status installed curl:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:04:00 configure libcurl3:amd64 7.47.0-1ubuntu2.6 <none>
2018-02-01 09:04:00 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:04:00 status unpacked libcurl3:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:04:00 status half-configured libcurl3:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:04:00 status installed libcurl3:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:04:00 configure libruby2.3:amd64 2.3.1-2~16.04.6 <none>
2018-02-01 09:04:00 status unpacked libruby2.3:amd64 2.3.1-2~16.04.6
2018-02-01 09:04:00 status half-configured libruby2.3:amd64 2.3.1-2~16.04.6
2018-02-01 09:04:00 status installed libruby2.3:amd64 2.3.1-2~16.04.6
2018-02-01 09:04:00 configure ruby2.3:amd64 2.3.1-2~16.04.6 <none>
2018-02-01 09:04:00 status unpacked ruby2.3:amd64 2.3.1-2~16.04.6
2018-02-01 09:04:00 status half-configured ruby2.3:amd64 2.3.1-2~16.04.6
2018-02-01 09:04:00 status installed ruby2.3:amd64 2.3.1-2~16.04.6
2018-02-01 09:04:00 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-02-01 09:04:00 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:04:01 status installed libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:04:01 startup packages configure
2018-02-01 20:35:19 startup archives unpack
2018-02-01 20:35:19 upgrade vivaldi-stable:amd64 1.13.1008.44-1 1.14.1077.41-1
2018-02-01 20:35:19 status half-configured vivaldi-stable:amd64 1.13.1008.44-1
2018-02-01 20:35:19 status unpacked vivaldi-stable:amd64 1.13.1008.44-1
2018-02-01 20:35:19 status half-installed vivaldi-stable:amd64 1.13.1008.44-1
2018-02-01 20:35:19 status triggers-pending gnome-menus:amd64 3.13.3-6ubuntu3.1
2018-02-01 20:35:19 status triggers-pending desktop-file-utils:amd64 0.22+linuxmint1
2018-02-01 20:35:19 status half-installed vivaldi-stable:amd64 1.13.1008.44-1
2018-02-01 20:35:19 status triggers-pending bamfdaemon:amd64 0.5.3~bzr0+16.04.20160824-0ubuntu1
2018-02-01 20:35:19 status triggers-pending mime-support:all 3.59ubuntu1
2018-02-01 20:35:25 status half-installed vivaldi-stable:amd64 1.13.1008.44-1
2018-02-01 20:35:25 status unpacked vivaldi-stable:amd64 1.14.1077.41-1
2018-02-01 20:35:25 status unpacked vivaldi-stable:amd64 1.14.1077.41-1
2018-02-01 20:35:25 trigproc gnome-menus:amd64 3.13.3-6ubuntu3.1 <none>
2018-02-01 20:35:25 status half-configured gnome-menus:amd64 3.13.3-6ubuntu3.1
2018-02-01 20:35:25 status installed gnome-menus:amd64 3.13.3-6ubuntu3.1
2018-02-01 20:35:25 trigproc desktop-file-utils:amd64 0.22+linuxmint1 <none>
2018-02-01 20:35:25 status half-configured desktop-file-utils:amd64 0.22+linuxmint1
2018-02-01 20:35:25 status installed desktop-file-utils:amd64 0.22+linuxmint1
2018-02-01 20:35:25 trigproc bamfdaemon:amd64 0.5.3~bzr0+16.04.20160824-0ubuntu1 <none>
2018-02-01 20:35:25 status half-configured bamfdaemon:amd64 0.5.3~bzr0+16.04.20160824-0ubuntu1
2018-02-01 20:35:25 status installed bamfdaemon:amd64 0.5.3~bzr0+16.04.20160824-0ubuntu1
2018-02-01 20:35:25 trigproc mime-support:all 3.59ubuntu1 <none>
2018-02-01 20:35:25 status half-configured mime-support:all 3.59ubuntu1
2018-02-01 20:35:25 status installed mime-support:all 3.59ubuntu1
2018-02-01 20:35:25 startup packages configure
2018-02-01 20:35:25 configure vivaldi-stable:amd64 1.14.1077.41-1 <none>
2018-02-01 20:35:25 status unpacked vivaldi-stable:amd64 1.14.1077.41-1
2018-02-01 20:35:25 status half-configured vivaldi-stable:amd64 1.14.1077.41-1
2018-02-01 20:35:26 status installed vivaldi-stable:amd64 1.14.1077.41-1
2018-02-01 20:35:26 startup packages configure
2018-02-02 09:09:11 startup archives unpack
2018-02-02 09:09:12 upgrade google-chrome-stable:amd64 64.0.3282.119-1 64.0.3282.140-1
2018-02-02 09:09:12 status half-configured google-chrome-stable:amd64 64.0.3282.119-1
2018-02-02 09:09:12 status unpacked google-chrome-stable:amd64 64.0.3282.119-1
2018-02-02 09:09:12 status half-installed google-chrome-stable:amd64 64.0.3282.119-1
2018-02-02 09:09:17 status triggers-pending man-db:amd64 2.7.5-1
2018-02-02 09:09:17 status triggers-pending gnome-menus:amd64 3.13.3-6ubuntu3.1
2018-02-02 09:09:17 status triggers-pending desktop-file-utils:amd64 0.22+linuxmint1
2018-02-02 09:09:17 status half-installed google-chrome-stable:amd64 64.0.3282.119-1
2018-02-02 09:09:17 status triggers-pending bamfdaemon:amd64 0.5.3~bzr0+16.04.20160824-0ubuntu1
2018-02-02 09:09:17 status triggers-pending mime-support:all 3.59ubuntu1
2018-02-02 09:09:17 status half-installed google-chrome-stable:amd64 64.0.3282.119-1
2018-02-02 09:09:17 status unpacked google-chrome-stable:amd64 64.0.3282.140-1
2018-02-02 09:09:17 status unpacked google-chrome-stable:amd64 64.0.3282.140-1
2018-02-02 09:09:17 upgrade php7.2-dev:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-configured php7.2-dev:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-dev:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-installed php7.2-dev:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-installed php7.2-dev:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-dev:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-dev:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 upgrade php7.2-opcache:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status triggers-pending libapache2-mod-php7.2:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status triggers-pending php7.2-fpm:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-configured php7.2-opcache:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-opcache:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-installed php7.2-opcache:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-installed php7.2-opcache:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-opcache:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-opcache:amd64 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 upgrade php7.2-json:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1 7.2.2-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status half-configured php7.2-json:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
2018-02-02 09:09:17 status unpacked php7.2-json:amd64 7.2.1-1+ubuntu16.04.1+deb.sury.org+1
